name,label1,label2,Postnum,Integral,Essence,Votenum,active,totaltimes,date1,date2
小僧悟道,nero,practicing doctor,3974,319,12,5372,1443,2775,2015-01-22,2019-03-16
byszb,nero,practicing doctor,516,139,11,59,589,148,2002-10-20,2016-03-30
shihai954954,unknown,unknown,20,2,0,0,22,12,2004-11-21,2004-12-31
逃,nero,practicing doctor,19850,424,67,9809,5683,840,2003-01-13,2018-12-04
宝儿姐,unknown,unknown,5,0,0,37,1,1,2018-06-06,2018-06-06
zhangyongwei,nero,practicing doctor,299,24,1,8,837,56,2003-03-07,2006-12-08
peilei2003,others,practicing doctor,107,5,0,29,1,4,2004-07-22,2018-12-06
singlerainer,nero,practicing doctor,25,0,0,0,1,2,2011-07-29,2018-08-27
hs3sun,nero,specialist,232,27,0,3,412,121,2004-06-08,2006-02-09
神经病小年轻,unknown,medical student,19,0,0,11,1,5,2016-09-30,2016-10-07
牧马奔驰,nero,identified doctor,340,6,0,107,1007,36,2014-01-04,2017-02-03
mxcs_2004,unknown,practicing doctor,483,4,0,142,763,60,2014-04-25,2019-02-21
qiaoxingmao,nero,practicing doctor,1110,136,8,61,1329,552,2003-04-26,2006-12-14
jgui,unknown,unknown,434,192,6,19,759,200,2003-05-30,2005-08-19
黑眼圈涵涵,unknown,unknown,14,0,0,1,1,3,2013-11-30,2017-11-18
WUYK_BJ,nero,identified doctor,2512,264,1,6573,597,352,2013-05-26,2017-04-08
名字删了,nero,identified doctor,5,0,0,0,1,1,2013-05-15,2013-05-15
草虾缘,nero,practicing doctor,350,28,0,78,16,79,2014-12-29,2016-06-05
败笔G2D6,unknown,medical student,0,0,0,0,1,1,2019-02-26,2019-02-26
石头2233,unknown,unknown,306,0,0,88,2,6,2017-05-09,2017-05-19
医知医客,unknown,unknown,0,0,0,0,1,1,2018-01-17,2018-01-17
mariasam,nero,practicing doctor,2606,263,1,3851,1791,418,2013-05-16,2019-03-17
drzhenghb,nero,practicing doctor,2543,554,30,307,736,922,2005-02-14,2007-09-03
紫熊,others,specialist,9097,280,24,253,1771,394,2002-07-08,2007-05-13
医者迷途,unknown,unknown,0,0,0,6,1,1,2018-11-23,2018-11-23
FangQU,nero,specialist,4981,899,39,6164,5393,2258,2004-03-20,2019-03-15
ok2010,nero,practicing doctor,31,2,0,32,889,10,2015-11-11,2018-12-29
玉海碧波,nero,identified doctor,189,34,1,6,322,57,2004-06-26,2006-01-26
荆棘鸟gr,others,practicing doctor,2,0,0,6,47,6,2018-12-29,2019-02-27
dnveeqtkgg,nero,practicing doctor,106,1,0,13,1879,4,2013-09-11,2018-12-04
neurosurgeon,unknown,unknown,46,9,0,1,634,36,2003-06-08,2005-03-02
柳柳刀,nero,practicing doctor,1651,154,1,2880,1003,1202,2016-04-29,2019-03-10
qiujinzm,others,practicing doctor,139,2,0,11,2296,7,2009-07-12,2017-06-07
deping2008,nero,practicing doctor,434,12,0,123,509,67,2014-11-23,2018-10-30
happy0720,nero,practicing doctor,524,70,0,2402,268,459,2017-09-20,2018-06-14
mashaobin,unknown,unknown,153,7,0,3,28,42,2004-09-04,2005-10-05
hansuocheng,nero,practicing doctor,203,73,0,29,335,68,2005-06-03,2006-07-31
芳芳芳是我,unknown,unknown,10,0,0,0,1,1,2018-04-17,2018-04-17
健康是愿望,others,practicing doctor,5,0,0,43,1,1,2018-12-06,2018-12-06
chacb,nero,practicing doctor,27,4,0,7,1,26,2016-05-23,2018-11-18
wf_bb,nero,practicing doctor,27,3,0,1,1,18,2006-01-09,2016-06-14
liminyang1993,nero,specialist,39,23,1,2,635,21,2003-05-08,2005-03-03
ly879752577,nero,practicing doctor,2962,308,8,5172,1823,2175,2014-02-27,2019-03-20
yangxiaoyang,unknown,unknown,77,0,0,0,1,23,2006-02-17,2006-02-21
wujuntz,nero,practicing doctor,47,1,0,0,2421,8,2004-09-17,2011-05-21
部队建设,nero,practicing doctor,107,5,0,0,133,57,2005-03-23,2005-12-04
m9i,unknown,practicing doctor,74,8,0,28,184,8,2016-04-06,2016-11-15
leuking,unknown,unknown,2262,360,27,122,1641,1012,2003-03-12,2007-09-07
zhixiang1599,others,practicing doctor,468,80,0,13,162,123,2004-02-03,2004-12-17
poor_112,others,practicing doctor,161,13,0,3,1,17,2005-08-17,2006-03-26
hjsmy,unknown,medical student,0,0,0,23,1,1,2019-01-04,2019-01-04
rom19811225,nero,practicing doctor,70,2,0,17,658,28,2016-08-02,2018-05-25
sywan9,unknown,unknown,12,0,0,4,1,1,2016-08-30,2016-08-30
唐意,unknown,unknown,0,0,0,0,1,3,2013-10-13,2019-03-02
